Name,Sector,Years of Operation
Iddiction,Information,3 (2011-2014)
Ideeli,Retail Trade,9 (2007-2016)
Immersv,Professional Scientific and Technical Services,4 (2015-2019)
Import.io,Information,10 (2012-2022)
Improvonia,Arts Entertainment and Recreation,5 (2013-2018)
InBloom,Information,3 (2011-2014)
Instacart Express,Retail Trade,8 (2012-2020)
Instapaper,Information,12 (2008-2020)
Intent Media,Professional Scientific and Technical Services,10 (2008-2018)
Intuit QuickBase,Information,15 (1999-2014)
IRL,Information,5 (2018-2023)
Iroko,Arts Entertainment and Recreation,11 (2010-2021)
Jibo,Manufacturing,6 (2012-2018)
Jive Software,Information,14 (2001-2015)
Jobr,Administrative and Support Services,5 (2014-2019)
Jolt,Information,6 (2014-2020)
Joyent,Information,13 (2004-2017)
Jukin Media,Information,10 (2011-2021)
JumpTime,Information,5 (2010-2015)
Juniper Square,Real Estate and Rental and Leasing,8 (2014-2022)
Katerra,Construction,7 (2015-2022)
Keen IO,Information,8 (2011-2019)
Keybase,Information,7 (2014-2021)
Khan Academy Lite,Information,6 (2014-2020)
Kicksend,Information,6 (2011-2017)
Kiko,Information,3 (2005-2008)
Kinnek,Retail Trade,8 (2012-2020)
Kippt,Information,5 (2012-2017)
Kiwi,Information,4 (2011-2015)
Klout,Information,9 (2008-2017)
Kno,Information,5 (2009-2014)
Koding,Information,8 (2011-2019)
Koji,Information,5 (2016-2021)
KPCB Edge,Finance and Insurance,5 (2015-2020)
KweekWeek,Arts Entertainment and Recreation,5 (2012-2017)
Lanyrd,Information,7 (2010-2017)
Latergramme,Information,5 (2012-2017)
Layer,Information,6 (2013-2019)
Leap Transit,Transportation and Warehousing,3 (2013-2016)
LearnUp,Information,6 (2011-2017)
Liftopia,Arts Entertainment and Recreation,14 (2005-2019)
LightSail Energy,Manufacturing,8 (2008-2016)
Limbix,Health Care,6 (2016-2022)
LinkedIn Lite,Information,5 (2015-2020)
Lit Motors,Manufacturing,11 (2010-2021)
Livefyre,Information,9 (2007-2016)
LiveLoop,Information,5 (2010-2015)
LiveMint,Information,5 (2012-2017)
LiveScribe,Manufacturing,13 (2007-2020)
LiveSpace,Information,4 (2013-2017)
Loom,Information,7 (2011-2018)
Loom.ai,Information,5 (2016-2021)
Loop Commerce,Retail Trade,9 (2012-2021)
Lovely,Real Estate and Rental and Leasing,6 (2012-2018)
Luxe,Transportation and Warehousing,5 (2014-2019)
Lyft Line,Transportation and Warehousing,6 (2013-2019)
Mandrill,Information,7 (2012-2019)
Marissa Mayer’s Yahoo,Information,5 (2012-2017)
Matter.io,Information,5 (2013-2018)
Mattermark,Information,7 (2012-2019)
Maven,Health Care,5 (2015-2020)
Me.me,Information,4 (2015-2019)
Medicast,Health Care,5 (2013-2018)
Meetup WeWork,Information,4 (2019-2023)
Memolane,Information,3 (2010-2013)
Memrise,Information,12 (2010-2022)
Mention,Information,8 (2012-2020)
Mesh,Information,5 (2015-2020)
Meta AR,Manufacturing,5 (2018-2023)
Meteor,Information,9 (2011-2020)
MindSumo,Information,10 (2011-2021)
Mint Songs,Arts Entertainment and Recreation,3 (2020-2023)
Mobi,Transportation and Warehousing,5 (2012-2017)
Moment,Information,6 (2014-2020)
Mondo Robot,Professional Scientific and Technical Services,14 (2006-2020)
Monetate,Professional Scientific and Technical Services,13 (2008-2021)
MongoHQ,Information,8 (2008-2016)
Monstercat,Arts Entertainment and Recreation,12 (2011-2023)
Moo,Manufacturing,15 (2006-2021)
Moodstocks,Information,8 (2008-2016)
Moon Express,Transportation and Warehousing,11 (2010-2021)
Moped,Information,5 (2012-2017)
Mophie,Manufacturing,13 (2005-2018)
Movable Ink,Professional Scientific and Technical Services,12 (2010-2022)
MyFitnessPal,Arts Entertainment and Recreation,14 (2005-2019)
MyMiniLife,Information,4 (2006-2010)
Nanosolar,Manufacturing,12 (2002-2014)
Nebula,Information,6 (2018-2024)
Nestio,Real Estate and Rental and Leasing,9 (2011-2020)
NetBooks,Information,5 (2006-2011)
Nextbit,Manufacturing,4 (2013-2017)
NextCaller,Information,9 (2012-2021)
Nextdoor Local,Information,5 (2018-2023)
Nimble,Information,10 (2009-2019)
Ninja Metrics,Information,7 (2010-2017)
Noom Coach,Health Care,12 (2008-2020)
ODesk,Administrative and Support Services,12 (2003-2015)
OfferUp Local,Retail Trade,6 (2015-2021)
Oink,Information,2 (2011-2013)
Olo,Accommodation and Food Services,15 (2005-2020)
Omaze UK,Arts Entertainment and Recreation,6 (2015-2021)
Omnity,Information,6 (2015-2021)
Omnivis,Health Care,5 (2017-2022)
One Month,Information,9 (2013-2022)
OneFineStay,Administrative and Support Services,10 (2010-2020)
OneLogin,Information,12 (2009-2021)
OneSignal,Information,8 (2014-2022)
OnSwipe,Information,6 (2011-2017)
OpenAirplane,Transportation and Warehousing,5 (2012-2017)
OpenPeak,Information,11 (2002-2013)
Opera Solutions,Professional Scientific and Technical Services,14 (2004-2018)
Optimizely,Information,12 (2010-2022)
Orbeus,Information,6 (2012-2018)
Orchard,Real Estate and Rental and Leasing,6 (2017-2023)
Origami Labs,Information,5 (2011-2016)
Osmo,Information,7 (2013-2020)
Ouya,Manufacturing,4 (2012-2016)
Outbox,Transportation and Warehousing,3 (2012-2015)
Ouya,Manufacturing,4 (2012-2016)
OverDrive,Information,15 (1986-2001)
OwnLocal,Professional Scientific and Technical Services,10 (2010-2020)
Oyster,Information,4 (2012-2016)
Pager,Health Care,7 (2014-2021)
Pair,Information,3 (2012-2015)
PandoDaily,Information,7 (2012-2019)
Panorama Education,Information,10 (2012-2022)
Paperless Post,Information,13 (2008-2021)
Parse,Information,5 (2011-2016)
Patreon Events,Arts Entertainment and Recreation,5 (2017-2022)
Peek,Administrative and Support Services,10 (2012-2022)
Photonics,Manufacturing,7 (2014-2021)
Pi,Information,4 (2018-2022)
Piazza,Information,12 (2009-2021)
Picnik,Information,7 (2005-2012)
Pinger,Information,13 (2005-2018)
Pipelinedeals,Information,14 (2006-2020)
Pixate,Information,4 (2012-2016)
Pixelpipe,Information,5 (2008-2013)
Placements.io,Professional Scientific and Technical Services,7 (2014-2021)
Plancast,Information,5 (2009-2014)
PlanGrid,Construction,9 (2011-2020)
PlateJoy,Health Care,8 (2013-2021)
PlayHaven,Information,7 (2008-2015)
Plume Labs,Manufacturing,7 (2014-2021)
Pockethunt,Real Estate and Rental and Leasing,4 (2016-2020)
Podster,Information,5 (2015-2020)
Polarr,Information,8 (2014-2022)
Poll Everywhere,Information,15 (2007-2022)
Polyvore,Retail Trade,12 (2007-2019)
PonoMusic,Arts Entertainment and Recreation,5 (2012-2017)
Portfolium,Information,7 (2013-2020)
Postmates X,Transportation and Warehousing,5 (2018-2023)
PostRocket,Information,3 (2011-2014)
PowerReviews,Information,13 (2005-2018)
Preact,Information,6 (2012-2018)
Predilytics,Professional Scientific and Technical Services,5 (2011-2016)
Pressly,Information,7 (2011-2018)
Priceonomics,Information,10 (2012-2022)
Prismatic,Information,5 (2012-2017)
Pro.com,Construction,6 (2014-2020)
Product Hunt Games,Information,5 (2018-2023)
ProntoPiso,Real Estate and Rental and Leasing,6 (2017-2023)
ProPublica Data,Information,8 (2012-2020)
Punch’d,Information,3 (2011-2014)
Puppet Labs,Information,14 (2005-2019)
PureWow,Information,11 (2010-2021)
Push IO,Information,8 (2007-2015)
QuizUp,Arts Entertainment and Recreation,7 (2013-2020)
Quora Credits,Information,5 (2014-2019)
Qwiki,Information,5 (2010-2015)
RadPad,Real Estate and Rental and Leasing,5 (2012-2017)
RebelMail,Information,6 (2014-2020)
Reclip,Information,3 (2015-2018)
RecruitLoop,Administrative and Support Services,8 (2012-2020)
RedBeacon,Administrative and Support Services,7 (2008-2015)
Remix,Transportation and Warehousing,7 (2014-2021)
RentJuice,Real Estate and Rental and Leasing,4 (2008-2012)
Replit Teams,Information,5 (2018-2023)
RescueTime,Information,15 (2006-2021)
Retention Science,Professional Scientific and Technical Services,9 (2012-2021)
Rev,Administrative and Support Services,12 (2010-2022)
ReverbNation,Arts Entertainment and Recreation,15 (2006-2021)
Retro,Information,5 (2014-2019)
Ridejoy,Transportation and Warehousing,3 (2011-2014)
Rigetti Computing,Manufacturing,8 (2013-2021)
Ringly,Retail Trade,6 (2013-2019)
Rogue,Arts Entertainment and Recreation,6 (2015-2021)
Room 77,Administrative and Support Services,7 (2010-2017)
Roominate,Manufacturing,6 (2012-2018)
RoverPass,Administrative and Support Services,7 (2014-2021)
RunKeeper,Arts Entertainment and Recreation,12 (2008-2020)
RxRobots,Health Care,8 (2010-2018)
Sailthru,Professional Scientific and Technical Services,12 (2008-2020)
SaleMove,Professional Scientific and Technical Services,9 (2012-2021)
Samba TV,Information,12 (2008-2020)
Say Media,Information,12 (2005-2017)
ScaleFactor,Professional Scientific and Technical Services,5 (2014-2019)
Scoop,Transportation and Warehousing,6 (2015-2021)
Screenhero,Information,5 (2012-2017)
SendGrid Labs,Information,8 (2015-2023)
Sense,Manufacturing,6 (2014-2020)
SetJam,Information,4 (2009-2013)
Shelfari,Information,9 (2006-2015)
SherpaShare,Transportation and Warehousing,6 (2014-2020)
Shoobs,Arts Entertainment and Recreation,9 (2012-2021)
ShopSavvy,Retail Trade,12 (2008-2020)
ShoreTel,Information,12 (1996-2008)
Shyp,Transportation and Warehousing,5 (2013-2018)
Sidecar,Transportation and Warehousing,6 (2012-2018)
Sidekick,Information,5 (2015-2020)
SilkRoad,Administrative and Support Services,14 (2003-2017)
Singly,Information,5 (2011-2016)
Skillshare Classes,Information,8 (2015-2023)
Skully,Manufacturing,4 (2013-2017)
Skybox Imaging,Professional Scientific and Technical Services,10 (2009-2019)
Skype Qik,Information,3 (2014-2017)
Slack Fund,Finance and Insurance,5 (2015-2020)
Slidely,Information,9 (2012-2021)
Slock.it,Information,5 (2015-2020)
Smartling,Professional Scientific and Technical Services,12 (2009-2021)
Snapchat Spectacles,Manufacturing,5 (2016-2021)
SnipSnap,Retail Trade,7 (2012-2019)
Snowball,Information,4 (2014-2018)
Songkick Detour,Arts Entertainment and Recreation,5 (2015-2020)
Sosh,Arts Entertainment and Recreation,8 (2011-2019)
SoundFocus,Information,5 (2012-2017)
Spaces,Real Estate and Rental and Leasing,5 (2015-2020)
SpaFinder,Administrative and Support Services,15 (2001-2016)
Spark,Information,7 (2013-2020)
Spartan Radar,Manufacturing,5 (2018-2023)
Spectralux,Health Care,6 (2015-2021)
Sphero,Manufacturing,12 (2010-2022)
Spindle,Information,4 (2011-2015)
Spotify Stations,Arts Entertainment and Recreation,4 (2019-2023)
Sprinklr,Professional Scientific and Technical Services,12 (2009-2021)
Sprout,Information,8 (2008-2016)
Sprout Social Lite,Information,5 (2018-2023)
Sublime,Information,5 (2015-2020)
SumAll,Information,8 (2011-2019)
Sumo Logic,Information,12 (2010-2022)
Sunrun,Construction,15 (2007-2022)
Superhuman,Information,7 (2015-2022)
Supershuttle,Transportation and Warehousing,15 (1983-1998)
SurveyMonkey Contribute,Information,5 (2015-2020)
Swarm,Information,6 (2014-2020)
Swiftype,Information,8 (2012-2020)
Swrve,Information,11 (2010-2021)
Symphony Commerce,Retail Trade,7 (2011-2018)
Synack,Information,10 (2013-2023)
Taboola News,Information,8 (2015-2023)
Tagged,Information,15 (2004-2019)
Tailgate,Arts Entertainment and Recreation,5 (2015-2020)
Talech,Retail Trade,10 (2012-2022)
TaskRabbit UK,Administrative and Support Services,6 (2015-2021)
Teamable,Administrative and Support Services,7 (2015-2022)
TellApart,Professional Scientific and Technical Services,9 (2009-2018)
Tellme,Information,12 (1999-2011)
Tempo,Arts Entertainment and Recreation,6 (2015-2021)
Tend,Health Care,4 (2019-2023)
TenderTree,Administrative and Support Services,6 (2012-2018)
Tenta,Information,5 (2015-2020)
Tessel,Manufacturing,6 (2013-2019)
The Grid,Information,6 (2014-2020)
The Hunt,Retail Trade,6 (2012-2018)
The RealReal UK,Retail Trade,6 (2015-2021)
The Shelf,Professional Scientific and Technical Services,7 (2013-2020)
ThingLink,Information,12 (2006-2018)
ThinkUp,Information,7 (2010-2017)
Thread,Retail Trade,8 (2012-2020)
Threadless Artist Shops,Retail Trade,6 (2015-2021)
Thumb,Information,4 (2011-2015)
Thumbtack Local,Administrative and Support Services,8 (2015-2023)
Ticketfly,Arts Entertainment and Recreation,12 (2008-2020)
Timehop,Information,9 (2011-2020)
Tinderbox,Information,5 (2014-2019)
Ting,Information,8 (2012-2020)
Tiny Speck,Information,5 (2009-2014)
Titan Aerospace,Manufacturing,6 (2011-2017)
Todoist Business,Information,5 (2018-2023)
Toggl,Information,15 (2006-2021)
Toopher,Information,7 (2011-2018)
Toptal Designers,Professional Scientific and Technical Services,6 (2015-2021)
Topsy,Information,8 (2007-2015)
Tout,Information,6 (2010-2016)
Traackr,Professional Scientific and Technical Services,12 (2008-2020)
Tractable,Professional Scientific and Technical Services,8 (2014-2022)
Trada,Professional Scientific and Technical Services,7 (2008-2015)
TradeGecko,Retail Trade,9 (2012-2021)
Trapit,Information,8 (2011-2019)
Triad,Retail Trade,5 (2015-2020)
Triggermail,Information,5 (2013-2018)
Triplet Therapeutics,Health Care,4 (2018-2022)
TripIt Pro,Administrative and Support Services,8 (2015-2023)
Tripod,Information,8 (1992-2000)
Tubefilter,Information,13 (2008-2021)
Turntable.fm,Arts Entertainment and Recreation,5 (2011-2016)
Tutorspree,Information,4 (2011-2015)
Twist,Information,7 (2011-2018)
Twitch Squads,Arts Entertainment and Recreation,4 (2018-2022)
Uber Rush,Transportation and Warehousing,5 (2015-2020)
Udemy Free,Information,8 (2015-2023)
Ueno,Professional Scientific and Technical Services,6 (2015-2021)
Unbounce,Professional Scientific and Technical Services,12 (2009-2021)
Uncharted Play,Manufacturing,8 (2011-2019)
Uncrate,Retail Trade,15 (2005-2020)
Understory,Professional Scientific and Technical Services,8 (2014-2022)
UnifyID,Information,6 (2015-2021)
Unroll.me,Information,8 (2011-2019)
Untappd Events,Arts Entertainment and Recreation,6 (2015-2021)
UpCounsel,Professional Scientific and Technical Services,9 (2012-2021)
UpOut,Arts Entertainment and Recreation,6 (2011-2017)
Upworthy Insider,Information,5 (2015-2020)
Urban Airship,Information,12 (2009-2021)
UrbanSitter,Administrative and Support Services,11 (2012-2023)
UserVoice,Information,13 (2007-2020)
Ustream,Information,12 (2007-2019)
Vamp,Professional Scientific and Technical Services,6 (2015-2021)
Vanhawks,Manufacturing,6 (2013-2019)
Vator,Information,12 (2006-2018)
Vayable,Administrative and Support Services,9 (2011-2020)
Vedere Bio II,Health Care,3 (2020-2023)
Vesper,Information,5 (2014-2019)
Vessel,Information,4 (2013-2017)
Videology,Professional Scientific and Technical Services,12 (2007-2019)
Vidme,Information,4 (2014-2018)
Viewdle,Information,7 (2006-2013)
Viki,Information,11 (2007-2018)
Viper,Information,6 (2014-2020)
Virta Health,Health Care,8 (2014-2022)
Virtustream,Information,12 (2008-2020)
VisualDNA,Professional Scientific and Technical Services,11 (2006-2017)
Vive,Health Care,5 (2016-2021)
VocalIQ,Information,6 (2011-2017)
Vodio,Information,4 (2011-2015)
Vook,Information,8 (2009-2017)
Wag,Administrative and Support Services,7 (2015-2022)
Wanderu,Administrative and Support Services,10 (2012-2022)
Washio,Administrative and Support Services,4 (2013-2017)
Wattpad Futures,Arts Entertainment and Recreation,5 (2016-2021)
Wavely,Information,5 (2016-2021)
Wavii,Information,4 (2009-2013)
WayUp,Administrative and Support Services,8 (2014-2022)
Weave,Information,8 (2014-2022)
Weebly Carbon,Information,5 (2018-2023)
WellnessFX,Health Care,9 (2011-2020)
WhatRunsWhere,Professional Scientific and Technical Services,9 (2011-2020)
Whiteboard,Information,5 (2015-2020)
WigWag,Manufacturing,6 (2013-2019)
Wildfire,Professional Scientific and Technical Services,7 (2008-2015)
WillCall,Arts Entertainment and Recreation,5 (2011-2016)
Willo,Health Care,5 (2018-2023)
Wimm Labs,Manufacturing,5 (2008-2013)
Wink,Manufacturing,7 (2014-2021)
Wit.ai,Information,4 (2013-2017)
WizIQ,Information,14 (2007-2021)
Womply,Professional Scientific and Technical Services,10 (2011-2021)
Wooden,Retail Trade,4 (2016-2020)
Workboard,Information,8 (2013-2021)
WorkMarket,Administrative and Support Services,11 (2010-2021)
WorldMate,Administrative and Support Services,14 (2000-2014)
Woven,Information,5 (2016-2021)
Y Combinator Research,Professional Scientific and Technical Services,5 (2015-2020)
Yandex Kit,Information,5 (2014-2019)
Yext Answers,Information,5 (2018-2023)
Yodle,Professional Scientific and Technical Services,13 (2005-2018)
Yog,Information,5 (2014-2019)
Yotpo Reviews,Professional Scientific and Technical Services,8 (2015-2023)
YourMechanic,Administrative and Support Services,9 (2012-2021)
YPlan,Arts Entertainment and Recreation,6 (2012-2018)
Zagster,Transportation and Warehousing,10 (2007-2017)
Zenefits,Administrative and Support Services,8 (2013-2021)
Zerigo Health,Health Care,5 (2018-2023)
Zillow Offers,Real Estate and Rental and Leasing,4 (2018-2022)
Zimperium,Information,10 (2010-2020)
Zocdoc Local,Health Care,8 (2015-2023)
Zoho Show,Information,5 (2015-2020)
Zvents,Arts Entertainment and Recreation,9 (2005-2014)
Zynstra,Information,8 (2012-2020)
